cls_0,cls_1,cls_2,cls_3,ent,max_probs,targets,preds
5.1333427e-06,0.0036541843,0.99603564,0.00030512395,0.026995903,0.99603564,2,2
0.00015324031,0.0025023264,0.15879458,0.8385498,0.45619404,0.8385498,3,3
2.2785352e-05,5.094799e-05,0.032525826,0.96740043,0.1442339,0.96740043,3,3
1.0096157e-05,0.0002665581,0.9927643,0.006959057,0.044089943,0.9927643,2,2
5.5564046e-06,0.0015376309,0.9971011,0.00135563,0.021873754,0.9971011,2,2
2.1860922e-05,0.00016600937,0.9918794,0.007932659,0.048135344,0.9918794,2,2
8.978815e-06,0.0024342814,0.9965508,0.0010058797,0.02513976,0.9965508,2,2
0.00019970351,0.1351867,0.8644777,0.00013592024,0.39932698,0.8644777,2,2
3.851178e-05,0.0004637035,0.6403141,0.35918367,0.65717655,0.6403141,2,2
0.00024383924,0.0007569685,0.70588833,0.29311082,0.6130348,0.70588833,2,2
1.6125754e-05,0.00020427765,0.9922808,0.0074988687,0.04629495,0.9922808,2,2
2.1919512e-05,4.1272222e-05,0.009276399,0.9906605,0.053363852,0.9906605,3,3
5.8980804e-06,0.0012471683,0.9981806,0.00056627515,0.014462115,0.9981806,2,2
6.131717e-06,0.18209848,0.81770426,0.00019112504,0.47642833,0.81770426,2,2
7.004079e-06,0.0006698405,0.9981713,0.0011517431,0.014598826,0.9981713,2,2
2.791914e-05,0.0005247418,0.9981786,0.0012686629,0.01453733,0.9981786,2,2
4.668953e-06,0.0005950176,0.99496824,0.0044321837,0.033513054,0.99496824,2,2
2.0182575e-05,0.00016474996,0.99401456,0.0058005517,0.03749264,0.99401456,2,2
8.438396e-06,0.00034709173,0.99697375,0.002670755,0.021710427,0.99697375,2,2
0.0004090878,0.00012822336,0.008037684,0.99142504,0.051649418,0.99142504,3,3
4.415355e-06,0.012522516,0.9860817,0.0013913335,0.077878356,0.9860817,2,2
6.8570944e-06,0.018830867,0.98104894,0.00011329231,0.09468226,0.98104894,2,2
1.6365224e-05,0.00017628672,0.99528414,0.0045232438,0.030827638,0.99528414,2,2
5.9159906e-06,0.002332817,0.99730825,0.0003530205,0.019703945,0.99730825,2,2
1.5558113e-05,0.00016563998,0.9954881,0.0043307175,0.029683813,0.9954881,2,2
1.4343031e-05,0.00031702078,0.99231464,0.0073540783,0.046496715,0.99231464,2,2
0.00070160074,0.8126469,0.065033734,0.12161772,0.6076461,0.8126469,1,1
1.0629588e-05,0.00080889795,0.9973532,0.0018273355,0.020045409,0.9973532,2,2
2.0151188e-05,0.0002820079,0.88964325,0.11005461,0.34941924,0.88964325,2,2
3.7088685e-05,0.6288155,0.37110835,3.902073e-05,0.6603583,0.6288155,1,1
6.527794e-06,0.0015027229,0.9980604,0.0004303271,0.015119515,0.9980604,2,2
7.018837e-06,0.002499489,0.9963748,0.0011186597,0.026279971,0.9963748,1,2
6.8284407e-06,0.015126771,0.9846117,0.00025473838,0.08085922,0.9846117,2,2
3.2332784e-05,0.00019499166,0.2519584,0.74781424,0.5666378,0.74781424,3,3
4.253146e-05,0.00013945528,0.9894767,0.010341253,0.059410002,0.9894767,3,2
1.0337784e-05,0.0050949287,0.9852486,0.009646077,0.08642879,0.9852486,2,2
4.396466e-06,0.029418962,0.9704241,0.000152578,0.13426387,0.9704241,1,2
9.751738e-06,0.00031917094,0.99709547,0.0025756613,0.020937273,0.99709547,2,2
5.1570337e-06,0.0029019124,0.9967314,0.000361536,0.023145357,0.9967314,1,2
2.918265e-05,4.69995e-05,0.0043501644,0.99557364,0.02884384,0.99557364,3,3
2.1718155e-05,0.0004311387,0.9892586,0.010288614,0.061345834,0.9892586,3,2
5.1832503e-06,0.001170125,0.9978927,0.00093199435,0.016570847,0.9978927,2,2
2.0514919e-05,0.00045967853,0.9947184,0.0048015225,0.034656312,0.9947184,2,2
7.938439e-06,0.0010341608,0.9983948,0.0005630877,0.013019208,0.9983948,2,2
7.661943e-06,0.0005488086,0.99810046,0.0013431453,0.014990301,0.99810046,2,2
1.1506806e-05,0.00027987553,0.9946301,0.0050785574,0.03460478,0.9946301,2,2
1.8118897e-05,0.005986417,0.9762624,0.01773306,0.1257969,0.9762624,2,2
7.3583587e-06,0.00034430917,0.9967379,0.0029104457,0.023084661,0.9967379,2,2
9.415384e-06,0.00030457193,0.989391,0.010295017,0.060238436,0.989391,2,2
4.0555016e-05,0.00015637689,0.9926449,0.007158097,0.044465914,0.9926449,2,2
5.57266e-06,0.007458363,0.99223596,0.00030012548,0.04676984,0.99223596,2,2
7.710263e-06,0.0068707787,0.99269354,0.00042801313,0.044910055,0.99269354,2,2
9.775094e-05,0.0006932614,0.2536602,0.7455488,0.5728252,0.7455488,2,3
0.00019830513,0.0059443563,0.06567944,0.92817795,0.28017926,0.92817795,3,3
4.956834e-05,0.99216944,0.0077625276,1.8414123e-05,0.04620574,0.99216944,1,1
4.8053903e-06,0.011134295,0.9886674,0.00019345613,0.0630601,0.9886674,2,2
0.00010671913,0.02718008,0.6464072,0.32630607,0.74644816,0.6464072,3,2
2.1393478e-05,0.05144365,0.9481849,0.00035002618,0.20611133,0.9481849,1,2
1.1208345e-05,0.8786921,0.12126349,3.3201533e-05,0.3699437,0.8786921,2,1
2.2202057e-05,0.00022075641,0.3114559,0.6883012,0.6225091,0.6883012,3,3
9.777278e-06,0.0007669072,0.9958093,0.0034140407,0.029187197,0.9958093,3,2
8.591362e-05,0.14793293,0.8267167,0.025264356,0.5337535,0.8267167,3,2
7.532363e-06,0.0010771775,0.9966725,0.0022428392,0.024452943,0.9966725,3,2
7.307097e-06,0.006019222,0.99366814,0.00030529176,0.0396443,0.99366814,2,2
4.985045e-05,0.4541646,0.5456913,9.423072e-05,0.6903637,0.5456913,2,2
6.894242e-06,0.040080905,0.95975804,0.0001541781,0.16979085,0.95975804,1,2
1.563841e-05,0.98127204,0.01868857,2.3706414e-05,0.09335454,0.98127204,1,1
